#{"t_start": 1786032094.7954583, "env_id": "rendezvous-v1"}
r,l,t
-9121.723716,22,39.512705
-22717.274717,8,39.517705
-19437.501629,12,39.736722
-16502.151384,15,39.747862
-22436.646729,8,39.753299
-16819.455897,15,40.037815
-14420.967814,17,40.258727
-15107.814712,17,40.269235
-16309.495864,15,40.494818
-18582.229568,12,40.503288
-19158.92901,12,40.510793
-20574.042245,10,40.72855
-14869.30464,17,40.74006
-13798.92862,17,40.958928
-19162.626563,12,40.967436
-17756.401039,13,41.196347
-12082.914914,19,41.211363
-6659.639328,25,41.450081
-13688.444909,18,41.672301
-22233.757233,8,41.6783
-23198.355218,7,41.682807
-20311.234062,10,41.899124
-22353.572958,8,41.904632
-7255.624504,27,42.133433
-19211.46668,12,42.142943
-21754.231371,9,42.148942
-22666.053793,8,42.377002
-6858.570579,25,42.654224
-23461.32996,7,42.660225
-7433.060371,24,42.887776
-19636.206309,12,42.895776
-2940.843832,30,43.138058
-24184.413244,6,43.143058
-12471.24717,18,43.391773
-18924.308509,12,43.399773
-20153.214622,11,43.63461
-19803.373763,11,43.643612
-19170.64677,12,43.652611
-18190.819474,12,43.884811
-16394.690216,15,43.895813
-18620.152727,12,44.13033
-15353.727258,16,44.143332
-1888.439326,30,44.385372
-9576.139079,21,44.626412
-10579.298821,21,44.855013
-14897.350392,17,44.866011
-1237.00454,30,45.103047
-13313.562637,20,45.33514
-20904.696808,10,45.342142
-5717.956661,29,45.576831
-11946.324087,21,45.810412
-19706.278468,11,45.818421
-14554.381398,16,46.05338
-2634.402274,30,46.285289
-14874.084355,16,46.296801
-23681.75195,7,46.301799
-12624.896262,21,46.520677
-19162.167661,12,46.740849
-4937.661622,27,46.759611
-7588.143812,25,46.983316
-23301.111164,7,47.186931
-20090.130458,11,47.195441
-16511.690172,14,47.205955
-20834.819784,10,47.424507
-9608.409635,23,47.441031
-11008.144163,22,47.665036
-13778.300123,18,47.897591
-14154.491817,18,47.909096
-3757.085901,30,48.135608
-18459.766965,12,48.35098
-13981.040319,18,48.36349
-14162.39352,17,48.604368
-19444.822104,12,48.612648
-13751.987855,17,48.835633
-18207.178312,13,48.843636
-17409.086122,13,49.060872
-17525.195078,14,49.07038
-16510.546673,15,49.2903
-6214.959395,26,49.52233
-23295.864025,7,49.526837
-20483.195242,10,49.533837
-13948.913509,19,49.752563
-8178.934401,25,49.972361
-2003.552094,30,50.199795
-2565.03099,30,50.429899
-15261.562956,16,50.441407
-21404.512104,10,50.651628
-14661.495821,17,50.663136
-22383.479788,8,50.668646
-19337.11369,11,50.88074
-9175.982997,23,50.896754
-1821.735124,30,51.129049
-6488.82687,25,51.357337
-20355.330836,11,51.573632
-15707.194532,16,51.584734
-22077.826033,9,51.796736
-18497.852204,12,51.80524
-18172.455151,13,51.813249
-15954.272878,16,52.029249
-20191.849708,11,52.035755
-19789.573805,11,52.252292
-14653.999387,16,52.262797
-1255.384033,30,52.493089
-22382.898163,8,52.499104
-17744.474414,13,52.711974
-16385.103066,15,52.722483
-17578.593794,14,52.943301
-21322.197729,9,52.948811
-6111.477694,28,53.168592
-19969.494578,11,53.176099
-23215.653565,7,53.401863
-22244.164529,8,53.407373
-11985.199358,20,53.631061
-11285.741526,21,53.645071
-19187.913077,12,53.857341
-18385.586621,13,53.865845
-19130.920974,12,54.083787
-21736.781955,9,54.091297
-13151.058905,19,54.104817
-20692.918718,10,54.314921
-15774.817037,16,54.324928
-13140.93598,19,54.542962
-22568.829411,8,54.547469
-19347.649097,12,54.769762
-16559.729608,14,54.778275
-21256.851795,9,54.785273
-20378.405958,11,54.999557
-10154.667706,22,55.014063
-8248.988777,24,55.239388
-21088.490425,10,55.453335
-2994.717153,28,55.680033
-17237.105531,14,55.688536
-20126.305683,11,55.697041
-11817.39283,20,55.915354
-22378.623303,8,55.920359
-12766.744953,20,56.146557
-20403.279753,11,56.153559
-17107.938571,14,56.369744
-18906.75627,12,56.377256
-22586.818569,8,56.382255
-21799.38508,9,56.595518
-14435.628034,18,56.607031
-13054.029605,19,56.885745
-23660.834393,7,56.890749
-20055.842503,11,57.109076
-18230.440982,13,57.117582
-19079.35206,12,57.127091
-8528.04003,23,57.349436
-5193.36845,28,57.572548
-19965.635221,11,57.79254
-16703.520481,15,57.802549
-6528.383839,25,58.038303
-17227.674561,14,58.047811
-7613.260466,24,58.277737
-18364.059613,13,58.521521
-21146.492122,10,58.528026
-21844.896662,9,58.534531
-16217.813917,16,58.759807
-5567.902604,26,58.992461
-19356.660121,12,58.999968
-15606.84268,16,59.223892
-12475.551666,21,59.23841
-18322.845145,13,59.460253
